,Yearly,Quarterly,Monthly,Others,Average
m4_TimesNet,0.785,0.885,0.883,1.052,0.852
m4_TimeMixer,0.783,0.9,0.883,1.063,0.855
m4_LightTS,0.8,0.903,0.885,1.128,0.865
m4_Mamba,0.796,0.915,0.932,1.08,0.881
m4_DLinear,0.833,0.929,0.938,1.115,0.901
m4_FiLM,0.818,0.965,0.944,1.122,0.903
m4_FEDformer,0.824,0.938,0.996,1.044,0.918
m4_iTransformer,0.846,0.956,1.013,1.222,0.944
m4_Reformer,0.853,0.969,0.984,1.421,0.945
m4_MICN,0.867,1.025,0.986,1.321,0.96
m4_Pyraformer,0.851,1.038,1.148,1.199,1.009
m4_Informer,0.879,1.146,1.118,1.437,1.039
m4_Autoformer,1.045,1.321,1.359,1.444,1.221
m4_Transformer,4.414,8.192,7.669,24.104,7.073
m4_Crossformer,4.777,8.178,7.691,36.934,7.765
m4_Nonstationary_Transformer,,1.114,1.122,,
