,Yearly,Quarterly,Monthly,Others,Average
m4_TSGym_Stat_False_positional-encoding_Transformer_auto-correlation_True,0.809,0.89,0.902,1.057,0.869
m4_TSGym_RevIN_False_positional-encoding_Transformer_auto-correlation_True,0.825,0.891,0.898,1.075,0.875
m4_TSGym_Stat_True_positional-encoding_Transformer_auto-correlation_True,0.819,0.893,0.909,1.04,0.877
m4_TSGym_RevIN_True_positional-encoding_Transformer_auto-correlation_True,0.809,0.909,0.92,1.031,0.878
m4_TSGym_Stat_True_positional-encoding_GRU_null_True,0.794,0.921,0.943,1.013,0.882
m4_TSGym_RevIN_True_positional-encoding_GRU_null_True,0.793,0.922,0.954,0.987,0.884
m4_TSGym_Stat_False_positional-encoding_GRU_null_True,0.797,0.93,0.962,1.03,0.892
m4_TSGym_RevIN_False_positional-encoding_GRU_null_True,0.797,0.933,0.962,1.031,0.892
m4_TSGym_Stat_True_positional-encoding_Transformer_frequency-enhanced-attention_True,0.798,0.971,1.007,1.049,0.917
m4_TSGym_RevIN_True_positional-encoding_Transformer_self-attention_True,0.81,1.017,1.023,1.091,0.937
m4_TSGym_RevIN_True_positional-encoding_Transformer_sparse-attention_True,0.831,1.008,1.022,1.067,0.943
m4_TSGym_Stat_True_positional-encoding_Transformer_sparse-attention_True,0.828,1.024,1.024,1.062,0.945
m4_TSGym_Stat_True_positional-encoding_MLP_null_True,0.8,1.034,1.082,1.051,0.957
m4_TSGym_RevIN_True_positional-encoding_MLP_null_True,0.798,1.033,1.087,1.06,0.958
m4_TSGym_Stat_True_positional-encoding_Transformer_self-attention_True,0.89,1.015,1.018,1.13,0.967
m4_TSGym_RevIN_False_positional-encoding_Transformer_frequency-enhanced-attention_True,0.89,1.033,1.03,1.191,0.98
m4_TSGym_Stat_False_positional-encoding_Transformer_frequency-enhanced-attention_True,0.872,1.045,1.059,1.229,0.987
m4_TSGym_Stat_False_positional-encoding_Transformer_sparse-attention_True,0.895,1.103,1.057,1.19,1.005
m4_TSGym_RevIN_False_positional-encoding_Transformer_sparse-attention_True,0.866,1.063,1.12,1.156,1.005
m4_TSGym_None_True_positional-encoding_MLP_null_True,0.865,1.076,1.101,1.375,1.016
m4_TSGym_RevIN_False_positional-encoding_Transformer_self-attention_True,0.938,1.099,1.08,1.287,1.033
m4_TSGym_Stat_False_positional-encoding_Transformer_self-attention_True,0.907,1.103,1.148,1.227,1.042
m4_TSGym_RevIN_False_positional-encoding_MLP_null_True,0.987,1.204,1.329,1.284,1.161
m4_TSGym_Stat_False_positional-encoding_MLP_null_True,0.987,1.221,1.326,1.288,1.163
m4_TSGym_None_False_positional-encoding_MLP_null_True,1.11,1.242,1.338,1.238,1.218
m4_TSGym_None_True_positional-encoding_Transformer_auto-correlation_True,4.266,8.199,7.111,22.913,6.777
m4_TSGym_None_True_positional-encoding_Transformer_frequency-enhanced-attention_True,4.283,8.198,7.675,22.911,6.966
m4_TSGym_None_True_positional-encoding_Transformer_sparse-attention_True,4.371,8.191,7.673,22.909,7.007
m4_TSGym_None_True_positional-encoding_Transformer_self-attention_True,4.386,8.198,7.668,22.933,7.016
m4_TSGym_None_False_positional-encoding_Transformer_frequency-enhanced-attention_True,4.281,8.192,7.669,24.12,7.019
m4_TSGym_None_True_positional-encoding_GRU_null_True,4.522,8.211,6.84,28.087,7.042
m4_TSGym_None_False_positional-encoding_Transformer_auto-correlation_True,4.399,8.193,7.668,24.092,7.069
m4_TSGym_None_False_positional-encoding_Transformer_self-attention_True,4.406,8.192,7.668,24.093,7.071
m4_TSGym_None_False_positional-encoding_Transformer_sparse-attention_True,4.411,8.191,7.668,24.104,7.072
m4_TSGym_None_False_positional-encoding_GRU_null_True,5.201,8.666,7.666,32.772,7.844
